iter	Passed	Remaining
0	4	480
1	8	393
2	11	355
3	13	324
4	17	323
5	20	316
6	23	305
7	25	295
8	28	287
9	31	283
10	34	275
11	36	267
12	38	255
13	40	246
14	42	238
15	44	232
16	46	225
17	48	219
18	50	213
19	52	209
20	54	203
21	56	198
22	57	193
23	59	189
24	61	185
25	63	181
26	65	177
27	67	173
28	69	169
29	71	165
30	73	163
31	75	159
32	77	156
33	78	153
34	80	150
35	82	147
36	84	144
37	86	141
38	88	138
39	90	135
40	92	133
41	93	128
42	95	126
43	97	123
44	98	120
45	100	118
46	102	115
47	104	113
48	106	111
49	108	108
50	110	106
51	112	104
52	114	101
53	116	99
54	117	96
55	119	94
56	121	91
57	123	89
58	125	87
59	127	84
60	129	82
61	131	80
62	133	78
63	135	75
64	137	73
65	138	71
66	140	69
67	142	67
68	144	65
69	146	62
70	148	60
71	150	58
72	152	56
73	154	54
74	156	52
75	158	49
76	159	47
77	161	45
78	163	43
79	165	41
80	167	39
81	169	37
82	171	35
83	173	32
84	175	30
85	177	28
86	178	26
87	180	24
88	182	22
89	184	20
90	186	18
91	188	16
92	190	14
93	192	12
94	194	10
95	195	8
96	197	6
97	199	4
98	201	2
99	203	0
