iter	Passed	Remaining
0	4	4491
1	8	4343
2	12	3991
3	14	3719
4	17	3427
5	19	3173
6	20	2958
7	22	2786
8	23	2627
9	25	2501
10	26	2397
11	27	2303
12	29	2231
13	30	2148
14	31	2079
15	32	2016
16	33	1953
17	34	1898
18	35	1844
19	36	1802
20	37	1765
21	38	1728
22	39	1694
23	40	1659
24	41	1630
25	43	1616
26	44	1586
27	45	1570
28	46	1546
29	47	1524
30	48	1504
31	48	1481
32	49	1461
33	50	1441
34	51	1424
35	52	1405
36	53	1388
37	54	1375
38	55	1356
39	55	1342
40	56	1326
41	57	1313
42	58	1305
43	59	1296
44	60	1285
45	61	1275
46	62	1264
47	63	1253
48	64	1244
49	64	1232
50	65	1222
51	66	1213
52	67	1203
53	68	1193
54	68	1184
55	69	1176
56	70	1167
57	71	1159
58	72	1153
59	73	1150
60	74	1145
61	75	1141
62	76	1134
63	77	1127
64	78	1123
65	78	1117
66	79	1113
67	80	1107
68	81	1101
69	82	1096
70	83	1090
71	84	1085
72	84	1079
73	85	1073
74	86	1068
75	87	1065
76	88	1062
77	89	1060
78	90	1056
79	91	1052
80	92	1046
81	93	1043
82	93	1034
83	94	1030
84	95	1025
85	96	1021
86	96	1017
87	97	1012
88	98	1008
89	99	1004
90	100	999
91	100	995
92	101	992
93	102	989
94	103	988
95	104	986
96	105	984
97	106	981
98	107	977
99	108	975
100	109	972
101	110	968
102	110	965
103	111	962
104	112	959
105	113	955
106	114	952
107	114	949
108	115	946
109	116	942
110	117	941
111	118	939
112	119	936
113	120	934
114	121	932
115	122	929
116	122	926
117	123	923
118	124	921
119	125	918
120	126	916
121	126	912
122	127	909
123	128	907
124	129	904
125	130	902
126	130	898
127	131	896
128	132	895
129	133	894
130	134	893
131	135	891
132	136	890
133	137	888
134	138	886
135	139	885
136	140	882
137	140	880
138	141	877
139	142	875
140	143	873
141	143	869
142	144	867
143	145	864
144	146	862
145	147	861
146	148	859
147	148	857
148	149	855
149	150	853
150	151	851
151	152	849
152	153	847
153	153	845
154	154	843
155	155	841
156	156	839
157	157	837
158	158	835
159	158	834
160	159	830
161	160	829
162	161	827
163	162	827
164	163	825
165	163	823
166	164	821
167	165	819
168	166	818
169	167	816
170	168	814
171	168	812
172	169	811
173	170	809
174	171	807
175	172	805
176	172	803
177	173	801
178	174	799
179	175	798
180	176	796
181	176	795
182	177	793
183	178	791
184	179	790
185	180	788
186	180	786
187	181	785
188	182	783
189	183	781
190	184	780
191	185	778
192	185	776
193	186	775
194	187	773
195	188	772
196	189	770
197	189	768
198	190	768
199	191	767
200	192	765
201	193	764
202	194	762
203	195	761
204	195	759
205	196	757
206	197	756
207	198	755
208	199	753
209	199	752
210	200	750
211	201	749
212	202	747
213	203	746
214	203	744
215	204	743
216	205	741
217	206	740
218	207	739
219	208	737
220	208	736
221	209	734
222	210	733
223	211	731
224	212	730
225	212	728
226	213	727
227	214	726
228	215	725
229	216	723
230	216	722
231	217	720
232	218	719
233	219	718
234	220	717
235	221	716
236	222	715
237	222	713
238	223	712
239	224	710
240	225	709
241	226	708
242	226	706
243	227	705
244	228	704
245	229	702
246	230	701
247	230	700
248	231	698
249	232	697
250	233	696
251	234	694
252	234	693
253	235	692
254	236	691
255	237	689
256	238	688
257	238	687
258	239	686
259	240	684
260	241	683
261	242	682
262	243	681
263	243	679
264	244	678
265	245	677
266	246	675
267	246	674
268	247	673
269	248	672
270	249	670
271	250	669
272	251	668
273	251	667
274	252	666
275	253	665
276	254	664
277	255	662
278	256	661
279	256	660
280	257	659
281	258	658
282	259	656
283	260	655
284	260	654
285	261	653
286	262	651
287	263	650
288	264	649
289	264	648
290	265	647
291	266	646
292	267	645
293	268	644
294	269	643
295	269	641
296	270	640
297	271	639
298	272	638
299	273	637
300	273	636
301	274	634
302	275	633
303	276	632
304	277	631
305	277	630
306	278	629
307	279	628
308	280	626
309	281	625
310	281	624
311	282	623
312	283	622
313	284	621
314	285	619
315	285	618
316	286	617
317	287	617
318	288	616
319	289	615
320	290	614
321	291	613
322	292	612
323	293	611
324	293	610
325	294	609
326	295	608
327	296	607
328	297	606
329	298	605
330	299	604
331	299	603
332	300	602
333	301	601
334	302	600
335	303	599
336	304	598
337	304	597
338	305	595
339	306	594
